Order_ID,Date,Status,Fulfilment,ORDERS_Channel,ship_service_level,Category,Size,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B,fulfilled_by,New,PendingS
406-8788101-3033168,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,666.0,CHENNAI,TAMIL NADU,600058,IN,false,Easy Ship,,
408-9741880-8454747,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,0.0,PUNE,MAHARASHTRA,411046,IN,false,Easy Ship,,
405-3051028-7888319,04-28-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,599.0,NEW DELHI,DELHI,110055,IN,false,,,
408-5097072-4712322,04-28-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,0.0,NOIDA,UTTAR PRADESH,201301,IN,false,Easy Ship,,
407-3545521-7525139,04-27-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,899.0,ASANSOL,WEST BENGAL,713304,IN,false,,,
402-2702273-1352305,04-27-22,Shipped,Amazon,Amazon.in,Expedited,Wallet,Free,Shipped,1,INR,625.0,BARASAT,WEST BENGAL,700129,IN,false,,,
405-1014232-8681154,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Unshipped,1,INR,1112.0,HUBBALLI,KARNATAKA,580032,IN,false,,,
404-6830686-9496306,04-26-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744.0,BENGALURU,KARNATAKA,560035,IN,false,,,
407-0713317-5737952,04-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,446.0,RAMNAGAR,BIHAR,845103,IN,false,Easy Ship,,
408-2480805-8383567,04-26-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,599.0,Ayodhya Faizabad,UTTAR PRADESH,224123,IN,false,,,
403-5089088-4554748,04-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1238.0,DINDASPUR,UTTAR PRADESH,221405,IN,false,Easy Ship,,
408-6633745-5246731,04-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,899.0,JAIPUR,RAJASTHAN,302033,IN,false,Easy Ship,,
407-5023205-1387515,04-26-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,L,Shipped,1,INR,413.0,NADIAD,Gujarat,387002,IN,false,,,
405-1970846-2889962,04-26-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,635.0,KOTTAYAM,KERALA,686502,IN,false,,,
408-8811130-5932300,04-25-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,788.0,BENGALURU,KARNATAKA,560072,IN,false,,,
405-6307165-3917939,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,1278.57,Ikauna,UTTAR PRADESH,271845,IN,false,Easy Ship,,
407-9476684-7153954,04-24-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XS,Shipped,1,INR,377.0,PIMPRI CHINCHWAD,MAHARASHTRA,412101,IN,false,,,
171-1557723-5173915,04-24-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,459.0,KOZHIKODE,KERALA,673007,IN,false,,,
406-2491368-0908308,04-24-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Cancelled,0,,,GREATER NOIDA,UTTAR PRADESH,201308,IN,false,,,
406-7211155-0586760,04-23-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,790.0,PATIALA,PUNJAB,147001,IN,false,,,
405-1439689-2305143,04-23-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,487.0,BOKARO STEEL CITY,JHARKHAND,827004,IN,false,,,
406-6329236-7728351,04-23-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,801.0,PATIALA,PUNJAB,147002,IN,false,,,
405-7106018-2133153,04-23-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597.0,MEENACHIL,KERALA,686585,IN,false,,,
408-6457625-4140330,04-22-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,759.0,BANGALORE,KARNATAKA,560032,IN,false,,,
407-8019763-9089925,04-22-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,XXL,Unshipped,1,INR,1173.0,MUMBAI,MAHARASHTRA,400091,IN,false,,,
407-0167638-4050735,04-22-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,406.0,pamidi,ANDHRA PRADESH,515775,IN,false,,,
405-6338418-9763513,04-22-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Cancelled,0,,,MUNGER,BIHAR,813212,IN,false,,,
408-1581482-6263548,04-21-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,635.0,HAJIPUR,BIHAR,844102,IN,false,,,
406-5719061-4807551,04-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,659.0,Vijayawada,ANDHRA PRADESH,520015,IN,false,Easy Ship,,
403-3292673-3048350,04-20-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,799.0,JAIPUR,RAJASTHAN,302017,IN,false,,,
408-8012559-8057969,04-20-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744.0,NOIDA,UTTAR PRADESH,201304,IN,false,,,
406-8545057-2753145,04-19-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XL,Shipped,1,INR,493.0,MUMBAI,MAHARASHTRA,400067,IN,false,Easy Ship,,
403-1503667-8980344,04-19-22,Cancelled,Amazon,Amazon.in,Expedited,Trousers,XXL,Unshipped,1,INR,463.0,JAIPUR,RAJASTHAN,302012,IN,false,,,
408-0310050-7665146,04-19-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,968.0,HYDERABAD,TELANGANA,500085,IN,false,,,
402-3058070-7411550,04-19-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XXL,Shipped,1,INR,540.0,HYDERABAD,TELANGANA,500060,IN,false,Easy Ship,,
403-0302621-0621110,04-18-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,376.0,SURAT,Gujarat,395007,IN,false,,,
171-0285687-0428344,04-17-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,568.0,BENGALURU,KARNATAKA,560102,IN,false,Easy Ship,,
403-2605336-1462761,04-17-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,788.0,JAIPUR,RAJASTHAN,302017,IN,false,,,
407-3134541-7802722,04-16-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399.0,Muzaffarnagar,UTTAR PRADESH,251001,IN,false,,,
171-1264663-7050710,04-16-22,Cancelled,Merchant,Amazon.in,Standard,Trousers,S,On the Way,0,INR,313.33,NAMCHI,SIKKIM,737126,IN,false,Easy Ship,,
